color_name,color_hex,min_price,max_price,seller,guarantee,mobile_digi_id,title,brand,model,ram,memory,vietnam,active,not_active,site,dual_sim,url
قرمز,#f44336,387000000,389000000, رایاتک,گارانتی 18 ماهه هما تلکام,8366616,گوشی موبایل اپل مدل iPhone 13 CH دو سیم‌ کارت ظرفیت 128 گیگابایت و رم 4 گیگابایت - نات اکتیو,Apple,iPhone 13 CH,4GB,128GB,False,True,True,DigiKala,False,https://digikala.com/product/dkp-8366616
آبی,#2196f3,373600000,392500000,پردازشگر همراه,گارانتی 18 ماهه آرتین تجارت آریا تدبیر,8366616,گوشی موبایل اپل مدل iPhone 13 CH دو سیم‌ کارت ظرفیت 128 گیگابایت و رم 4 گیگابایت - نات اکتیو,Apple,iPhone 13 CH,4GB,128GB,False,True,True,DigiKala,False,https://digikala.com/product/dkp-8366616
سفید,#FFFFFF,391800000,392000000,اسمارت تکنولوژی قشم,گارانتی 18 ماهه بهین ارتباط آراز,8366616,گوشی موبایل اپل مدل iPhone 13 CH دو سیم‌ کارت ظرفیت 128 گیگابایت و رم 4 گیگابایت - نات اکتیو,Apple,iPhone 13 CH,4GB,128GB,False,True,True,DigiKala,False,https://digikala.com/product/dkp-8366616
سبز تیره,#007e33,392400000,392400000,اسمارت تکنولوژی قشم,گارانتی 18 ماهه بهین ارتباط آراز,8366616,گوشی موبایل اپل مدل iPhone 13 CH دو سیم‌ کارت ظرفیت 128 گیگابایت و رم 4 گیگابایت - نات اکتیو,Apple,iPhone 13 CH,4GB,128GB,False,True,True,DigiKala,False,https://digikala.com/product/dkp-8366616
صورتی,#FF80AB,374740000,391880000,ستاره سهیل پارسا,گارانتی 18 ماهه ونوس سرویس خاورمیانه,8366616,گوشی موبایل اپل مدل iPhone 13 CH دو سیم‌ کارت ظرفیت 128 گیگابایت و رم 4 گیگابایت - نات اکتیو,Apple,iPhone 13 CH,4GB,128GB,False,True,True,DigiKala,False,https://digikala.com/product/dkp-8366616
آبی روشن,#40aaff,873650000,899000000,دیجی‌کالا,گارانتی 20 ماهه ماکان سرویس,6768092,گوشی موبایل اپل مدل iPhone 13 Pro Max A2644 دو سیم‌ کارت ظرفیت 128 گیگابایت و رم 6 گیگابایت - اکتیو,Apple,iPhone 13 Pro Max A2644,6GB,128GB,False,True,False,DigiKala,False,https://digikala.com/product/dkp-6768092
طلایی,#c99212,899000000,899000000,گسترش همراه,گارانتی 20 ماهه ماکان سرویس,6768092,گوشی موبایل اپل مدل iPhone 13 Pro Max A2644 دو سیم‌ کارت ظرفیت 128 گیگابایت و رم 6 گیگابایت - اکتیو,Apple,iPhone 13 Pro Max A2644,6GB,128GB,False,True,False,DigiKala,False,https://digikala.com/product/dkp-6768092
سفید,#FFFFFF,446420000,446420000,دیجی‌کالا,گارانتی 18 ماهه تک تیم فن,9125271,گوشی موبایل اپل مدل iPhone 13 CH دو سیم‌ کارت ظرفیت 256 گیگابایت و رم 4 گیگابایت - نات اکتیو,Apple,iPhone 13 CH,4GB,256GB,False,True,True,DigiKala,False,https://digikala.com/product/dkp-9125271
قرمز,#f44336,444900000,444900000, رایاتک,گارانتی 18 ماهه بهین ارتباط آراز,9125271,گوشی موبایل اپل مدل iPhone 13 CH دو سیم‌ کارت ظرفیت 256 گیگابایت و رم 4 گیگابایت - نات اکتیو,Apple,iPhone 13 CH,4GB,256GB,False,True,True,DigiKala,False,https://digikala.com/product/dkp-9125271
مشکی,#212121,432999900,454900000,ستاره سهیل پارسا,گارانتی 18 ماهه ونوس سرویس خاورمیانه,9125271,گوشی موبایل اپل مدل iPhone 13 CH دو سیم‌ کارت ظرفیت 256 گیگابایت و رم 4 گیگابایت - نات اکتیو,Apple,iPhone 13 CH,4GB,256GB,False,True,True,DigiKala,False,https://digikala.com/product/dkp-9125271
صورتی,#FF80AB,439875000,446420000,ستاره سهیل پارسا,گارانتی 18 ماهه ونوس سرویس خاورمیانه,9125271,گوشی موبایل اپل مدل iPhone 13 CH دو سیم‌ کارت ظرفیت 256 گیگابایت و رم 4 گیگابایت - نات اکتیو,Apple,iPhone 13 CH,4GB,256GB,False,True,True,DigiKala,False,https://digikala.com/product/dkp-9125271
سفید,#FFFFFF,300980000,309900000,دیجی‌کالا,گارانتی 18 ماهه تجارت گستر هیراد جوان,10759493,گوشی موبایل اپل مدل iPhone 11 LZA تک سیم‌ کارت ظرفیت 128 گیگابایت و رم 4 گیگابایت,Apple,iPhone 11 LZA,4GB,128GB,False,True,False,DigiKala,False,https://digikala.com/product/dkp-10759493
سبز,#00e676,901000000,925900000,بازرگانی پاییزان کالا,گارانتی 18 ماهه هما تلکام,10741745,گوشی موبایل اپل مدل iPhone 13 Pro Max تک سیم‌ کارت ظرفیت یک ترابایت و رم 6 گیگابایت - اروپا نات اکتیو,Apple,iPhone 13 Pro Max,6GB,1TB,False,True,True,DigiKala,False,https://digikala.com/product/dkp-10741745
خاکستری,#9E9E9E,1080000000,1080000000,گسترش همراه,گارانتی 18 ماهه سیف سرویس (ساپرا امین),10741745,گوشی موبایل اپل مدل iPhone 13 Pro Max تک سیم‌ کارت ظرفیت یک ترابایت و رم 6 گیگابایت - اروپا نات اکتیو,Apple,iPhone 13 Pro Max,6GB,1TB,False,True,True,DigiKala,False,https://digikala.com/product/dkp-10741745
آبی روشن,#40aaff,1015000000,1040000000,گسترش همراه,گارانتی 18 ماهه سیف سرویس (ساپرا امین),10741745,گوشی موبایل اپل مدل iPhone 13 Pro Max تک سیم‌ کارت ظرفیت یک ترابایت و رم 6 گیگابایت - اروپا نات اکتیو,Apple,iPhone 13 Pro Max,6GB,1TB,False,True,True,DigiKala,False,https://digikala.com/product/dkp-10741745
طلایی,#c99212,959900000,1025000000,پردازشگر همراه,گارانتی 18 ماهه هما تلکام,10741745,گوشی موبایل اپل مدل iPhone 13 Pro Max تک سیم‌ کارت ظرفیت یک ترابایت و رم 6 گیگابایت - اروپا نات اکتیو,Apple,iPhone 13 Pro Max,6GB,1TB,False,True,True,DigiKala,False,https://digikala.com/product/dkp-10741745
سفید,#FFFFFF,427470000,427470000,سپهر همراه,گارانتی 18 ماهه ونوس سرویس خاورمیانه,6459894,گوشی موبایل اپل مدل iPhone 13 Mini ظرفیت 128 گیگابایت و رم 4 گیگابایت - نات اکتیو,Apple,iPhone 13 Mini,4GB,128GB,False,True,True,DigiKala,False,https://digikala.com/product/dkp-6459894
صورتی,#FF80AB,416370000,429000000,سپهر همراه,گارانتی 18 ماهه ونوس سرویس خاورمیانه,6459894,گوشی موبایل اپل مدل iPhone 13 Mini ظرفیت 128 گیگابایت و رم 4 گیگابایت - نات اکتیو,Apple,iPhone 13 Mini,4GB,128GB,False,True,True,DigiKala,False,https://digikala.com/product/dkp-6459894
مشکی,#212121,270000000,270000000,هیراد جوان,گارانتی 18 ماهه تجارت گستر هیراد جوان,9759409,گوشی موبایل اپل مدل iPhone SE 2022 JA تک سیم کارت ظرفیت 128 گیگابایت و رم 4 گیگابایت ,Apple,iPhone SE 2022 JA,4GB,128GB,False,True,False,DigiKala,False,https://digikala.com/product/dkp-9759409
مشکی,#212121,568000000,569900000,آرتا همراه,گارانتی 18 ماهه سیف سرویس (ساپرا امین),6925294,گوشی موبایل اپل مدل iPhone 12 Pro A2408 دو سیم کارت ظرفیت 512 گیگابایت و رم 6 گیگابایت - نات اکتیو,Apple,iPhone 12 Pro A2408,6GB,512GB,False,True,True,DigiKala,False,https://digikala.com/product/dkp-6925294
آبی روشن,#40aaff,951000000,951000000, رایاتک,گارانتی 18 ماهه سورین ارتباط بهسا,9966610,گوشی موبایل اپل مدل iPhone 13 Pro Max LLA تک سیم‌ کارت ظرفیت 256 گیگابایت و رم 6 گیگابایت - نات اکتیو,Apple,iPhone 13 Pro Max LLA,6GB,256GB,False,True,True,DigiKala,False,https://digikala.com/product/dkp-9966610
سبز,#00e676,899990000,975000000,فروشگاه فرزادموبایل,گارانتی 18 ماهه (فنی خدماتی فناوران ارتباطات ژینا) موبایل کمک,9966610,گوشی موبایل اپل مدل iPhone 13 Pro Max LLA تک سیم‌ کارت ظرفیت 256 گیگابایت و رم 6 گیگابایت - نات اکتیو,Apple,iPhone 13 Pro Max LLA,6GB,256GB,False,True,True,DigiKala,False,https://digikala.com/product/dkp-9966610
سبز,#00e676,949000000,949000000, رایاتک,گارانتی 18 ماهه (فنی خدماتی فناوران ارتباطات ژینا) موبایل کمک,10658128,گوشی موبایل اپل مدل iPhone 13 Pro Max LLA تک سیم‌ کارت ظرفیت 512 گیگابایت و رم 6 گیگابایت - نات اکتیو,Apple,iPhone 13 Pro Max LLA,6GB,512GB,False,True,True,DigiKala,False,https://digikala.com/product/dkp-10658128
سفید,#FFFFFF,310000000,310000000,گسترش همراه,گارانتی 18 ماهه پارسه پیشتاز ونداد پرداز,9950935,گوشی موبایل اپل مدل iPhone 11 ZPA تک سیم‌ کارت ظرفیت 128 گیگابایت و رم 4 گیگابایت,Apple,iPhone 11 ZPA,4GB,128GB,False,True,False,DigiKala,False,https://digikala.com/product/dkp-9950935
مشکی,#212121,303000000,303580000,گسترش همراه,گارانتی 18 ماهه پارسه پیشتاز ونداد پرداز,9950935,گوشی موبایل اپل مدل iPhone 11 ZPA تک سیم‌ کارت ظرفیت 128 گیگابایت و رم 4 گیگابایت,Apple,iPhone 11 ZPA,4GB,128GB,False,True,False,DigiKala,False,https://digikala.com/product/dkp-9950935
آبی,#2196f3,689900000,689900000, رایاتک,گارانتی 18 ماهه ونوس سرویس خاورمیانه,3555626,گوشی موبایل اپل مدل iPhone 12 Pro Max A2412 دو سیم‌ کارت ظرفیت 512 گیگابایت و رم 6 گیگابایت - نات اکتیو,Apple,iPhone 12 Pro Max A2412,6GB,512GB,False,True,True,DigiKala,False,https://digikala.com/product/dkp-3555626
سبز,#00e676,719900000,749490000,دیجی‌کالا,گارانتی 18 ماهه بهین ارتباط آراز,10443781,گوشی موبایل اپل مدل iPhone 13 Pro CH دو سیم‌ کارت ظرفیت 256 گیگابایت و 6 گیگابایت رم - نات اکتیو,Apple,iPhone 13 Pro CH,6GB,256GB,False,True,True,DigiKala,False,https://digikala.com/product/dkp-10443781
آبی روشن,#40aaff,689900000,759990000, رایاتک,گارانتی 18 ماهه (فنی خدماتی فناوران ارتباطات ژینا) موبایل کمک,10443781,گوشی موبایل اپل مدل iPhone 13 Pro CH دو سیم‌ کارت ظرفیت 256 گیگابایت و 6 گیگابایت رم - نات اکتیو,Apple,iPhone 13 Pro CH,6GB,256GB,False,True,True,DigiKala,False,https://digikala.com/product/dkp-10443781
طلایی,#c99212,699000000,719900000, رایاتک,گارانتی 18 ماهه (فنی خدماتی فناوران ارتباطات ژینا) موبایل کمک,10443781,گوشی موبایل اپل مدل iPhone 13 Pro CH دو سیم‌ کارت ظرفیت 256 گیگابایت و 6 گیگابایت رم - نات اکتیو,Apple,iPhone 13 Pro CH,6GB,256GB,False,True,True,DigiKala,False,https://digikala.com/product/dkp-10443781
آبی روشن,#40aaff,748590000,754000000,اسمارت تکنولوژی قشم,گارانتی 18 ماهه کاشانه پارس همراه,10444467,گوشی موبایل اپل مدل iPhone 13 Pro Max CH دو سیم‌ کارت ظرفیت 256 گیگابایت و رم 6 گیگابایت - نات اکتیو,Apple,iPhone 13 Pro Max CH,6GB,256GB,False,True,True,DigiKala,False,https://digikala.com/product/dkp-10444467
نقره ای,#dedede,720800000,754000000,اسمارت تکنولوژی قشم,گارانتی 18 ماهه کاشانه پارس همراه,10444467,گوشی موبایل اپل مدل iPhone 13 Pro Max CH دو سیم‌ کارت ظرفیت 256 گیگابایت و رم 6 گیگابایت - نات اکتیو,Apple,iPhone 13 Pro Max CH,6GB,256GB,False,True,True,DigiKala,False,https://digikala.com/product/dkp-10444467
مشکی,#212121,741000000,741000000,آرتا همراه,گارانتی 18 ماهه بازرگانی فلش نگین خاورمیانه,10444467,گوشی موبایل اپل مدل iPhone 13 Pro Max CH دو سیم‌ کارت ظرفیت 256 گیگابایت و رم 6 گیگابایت - نات اکتیو,Apple,iPhone 13 Pro Max CH,6GB,256GB,False,True,True,DigiKala,False,https://digikala.com/product/dkp-10444467
طلایی,#c99212,736000000,754000000,آرتا همراه,گارانتی 18 ماهه بازرگانی فلش نگین خاورمیانه,10444467,گوشی موبایل اپل مدل iPhone 13 Pro Max CH دو سیم‌ کارت ظرفیت 256 گیگابایت و رم 6 گیگابایت - نات اکتیو,Apple,iPhone 13 Pro Max CH,6GB,256GB,False,True,True,DigiKala,False,https://digikala.com/product/dkp-10444467
خاکستری,#9E9E9E,725790000,729000000,اسمارت تکنولوژی قشم,گارانتی 18 ماهه کاشانه پارس همراه,10444467,گوشی موبایل اپل مدل iPhone 13 Pro Max CH دو سیم‌ کارت ظرفیت 256 گیگابایت و رم 6 گیگابایت - نات اکتیو,Apple,iPhone 13 Pro Max CH,6GB,256GB,False,True,True,DigiKala,False,https://digikala.com/product/dkp-10444467
مشکی,#212121,374090000,374090000,سپهر همراه,گارانتی 18 ماهه همراه گستر نقره فام,7788802,گوشی موبایل اپل مدل iPhone 11 A2223 ZAA دو سیم‌ کارت ظرفیت 128 گیگابایت و رم 4 گیگابایت,Apple,iPhone 11 A2223 ZAA,4GB,128GB,False,True,False,DigiKala,False,https://digikala.com/product/dkp-7788802
سبز,#00e676,999000000,999000000, رایاتک,گارانتی 18 ماهه سیب طلایی هوشمند,6460973,گوشی موبایل اپل مدل iPhone 13 Pro Max A2644 دو سیم‌ کارت ظرفیت 128 گیگابایت و رم 6 گیگابایت - نات اکتیو,Apple,iPhone 13 Pro Max A2644,6GB,128GB,False,True,True,DigiKala,False,https://digikala.com/product/dkp-6460973
آبی روشن,#40aaff,929900000,929900000, رایاتک,گارانتی 18 ماهه کارا همراه الماس پایتخت,10731997,گوشی موبایل اپل مدل iPhone 13 Pro Max JA تک سیم‌ کارت ظرفیت 256 گیگابایت و رم 6 گیگابایت - نات اکتیو,Apple,iPhone 13 Pro Max JA,6GB,256GB,False,True,True,DigiKala,False,https://digikala.com/product/dkp-10731997
صورتی,#FF80AB,449000000,449000000, رایاتک,گارانتی 18 ماهه ونوس سرویس خاورمیانه,6459893,گوشی موبایل اپل مدل iPhone 13 Mini ظرفیت 256 گیگابایت و رم 4 گیگابایت - نات اکتیو,Apple,iPhone 13 Mini,4GB,256GB,False,True,True,DigiKala,False,https://digikala.com/product/dkp-6459893
خاکستری,#9E9E9E,799000000,799000000, رایاتک,گارانتی 18 ماهه اطلس بنیاد جنوب,10632768,گوشی موبایل اپل مدل iPhone 13 Pro Max LLA تک سیم‌ کارت ظرفیت 128 گیگابایت و رم 6 گیگابایت - نات اکتیو,Apple,iPhone 13 Pro Max LLA,6GB,128GB,False,True,True,DigiKala,False,https://digikala.com/product/dkp-10632768
طلایی,#c99212,809000000,849000000, رایاتک,گارانتی 18 ماهه اطلس بنیاد جنوب,10632768,گوشی موبایل اپل مدل iPhone 13 Pro Max LLA تک سیم‌ کارت ظرفیت 128 گیگابایت و رم 6 گیگابایت - نات اکتیو,Apple,iPhone 13 Pro Max LLA,6GB,128GB,False,True,True,DigiKala,False,https://digikala.com/product/dkp-10632768
سفید,#FFFFFF,819000000,819000000, رایاتک,گارانتی 18 ماهه پیام تل (پارسیان مهد خلیج فارس),10632768,گوشی موبایل اپل مدل iPhone 13 Pro Max LLA تک سیم‌ کارت ظرفیت 128 گیگابایت و رم 6 گیگابایت - نات اکتیو,Apple,iPhone 13 Pro Max LLA,6GB,128GB,False,True,True,DigiKala,False,https://digikala.com/product/dkp-10632768
آبی روشن,#40aaff,799000000,849000000, رایاتک,گارانتی 18 ماهه اطلس بنیاد جنوب,10632768,گوشی موبایل اپل مدل iPhone 13 Pro Max LLA تک سیم‌ کارت ظرفیت 128 گیگابایت و رم 6 گیگابایت - نات اکتیو,Apple,iPhone 13 Pro Max LLA,6GB,128GB,False,True,True,DigiKala,False,https://digikala.com/product/dkp-10632768
سبز,#00e676,749000000,849000000, رایاتک,گارانتی 18 ماهه هما تلکام,10632768,گوشی موبایل اپل مدل iPhone 13 Pro Max LLA تک سیم‌ کارت ظرفیت 128 گیگابایت و رم 6 گیگابایت - نات اکتیو,Apple,iPhone 13 Pro Max LLA,6GB,128GB,False,True,True,DigiKala,False,https://digikala.com/product/dkp-10632768
طلایی,#c99212,748000000,748000000, رایاتک,گارانتی 18 ماهه هما تلکام,10731909,گوشی موبایل اپل مدل iPhone 13 Pro تک سیم کارت ظرفیت 512 گیگابایت و رم 6 گیگابایت - اروپا نات اکتیو,Apple,iPhone 13 Pro,6GB,512GB,False,True,True,DigiKala,False,https://digikala.com/product/dkp-10731909
نقره ای,#dedede,719900000,719900000, رایاتک,گارانتی 18 ماهه (فنی خدماتی فناوران ارتباطات ژینا) موبایل کمک,12083470,گوشی موبایل اپل مدل iPhone 13 Pro LLA تک سیم‌ کارت ظرفیت 128 گیگابایت و 6 گیگابایت رم - نات اکتیو,Apple,iPhone 13 Pro LLA,6GB,128GB,False,True,True,DigiKala,False,https://digikala.com/product/dkp-12083470
خاکستری,#9E9E9E,729900000,729900000, رایاتک,گارانتی 18 ماهه همراهکده تابیک,12083470,گوشی موبایل اپل مدل iPhone 13 Pro LLA تک سیم‌ کارت ظرفیت 128 گیگابایت و 6 گیگابایت رم - نات اکتیو,Apple,iPhone 13 Pro LLA,6GB,128GB,False,True,True,DigiKala,False,https://digikala.com/product/dkp-12083470
طلایی,#c99212,729900000,729900000, رایاتک,گارانتی 18 ماهه همراهکده تابیک,12083470,گوشی موبایل اپل مدل iPhone 13 Pro LLA تک سیم‌ کارت ظرفیت 128 گیگابایت و 6 گیگابایت رم - نات اکتیو,Apple,iPhone 13 Pro LLA,6GB,128GB,False,True,True,DigiKala,False,https://digikala.com/product/dkp-12083470
آبی روشن,#40aaff,719900000,719900000, رایاتک,گارانتی 18 ماهه همراهکده تابیک,12083470,گوشی موبایل اپل مدل iPhone 13 Pro LLA تک سیم‌ کارت ظرفیت 128 گیگابایت و 6 گیگابایت رم - نات اکتیو,Apple,iPhone 13 Pro LLA,6GB,128GB,False,True,True,DigiKala,False,https://digikala.com/product/dkp-12083470
سبز,#00e676,699900000,879900000, رایاتک,گارانتی 18 ماهه (فنی خدماتی فناوران ارتباطات ژینا) موبایل کمک,12083470,گوشی موبایل اپل مدل iPhone 13 Pro LLA تک سیم‌ کارت ظرفیت 128 گیگابایت و 6 گیگابایت رم - نات اکتیو,Apple,iPhone 13 Pro LLA,6GB,128GB,False,True,True,DigiKala,False,https://digikala.com/product/dkp-12083470
آبی,#2196f3,559990000,559990000,پایاگستر شهر,گارانتی 18 ماهه کاردو همراه دماوند,12507273,گوشی موبایل اپل مدل iPhone 12 Pro Max LLA تک سیم‌ کارت ظرفیت 256 گیگابایت و رم 6 گیگابایت - نات اکتیو,Apple,iPhone 12 Pro Max LLA,6GB,256GB,False,True,True,DigiKala,False,https://digikala.com/product/dkp-12507273
خاکستری,#9E9E9E,564000000,565000000,گسترش همراه,گارانتی 18 ماهه کاردو همراه دماوند,12507273,گوشی موبایل اپل مدل iPhone 12 Pro Max LLA تک سیم‌ کارت ظرفیت 256 گیگابایت و رم 6 گیگابایت - نات اکتیو,Apple,iPhone 12 Pro Max LLA,6GB,256GB,False,True,True,DigiKala,False,https://digikala.com/product/dkp-12507273
سبز,#00e676,699900000,699900000, رایاتک,گارانتی 18 ماهه هما تلکام,10632990,گوشی موبایل اپل مدل iPhone 13 Pro Max JA تک سیم‌ کارت ظرفیت 128 گیگابایت و رم 6 گیگابایت - نات اکتیو,Apple,iPhone 13 Pro Max JA,6GB,128GB,False,True,True,DigiKala,False,https://digikala.com/product/dkp-10632990
آبی روشن,#40aaff,709900000,709900000, رایاتک,گارانتی 18 ماهه بهین ارتباط آراز,10632990,گوشی موبایل اپل مدل iPhone 13 Pro Max JA تک سیم‌ کارت ظرفیت 128 گیگابایت و رم 6 گیگابایت - نات اکتیو,Apple,iPhone 13 Pro Max JA,6GB,128GB,False,True,True,DigiKala,False,https://digikala.com/product/dkp-10632990
آبی روشن,#40aaff,859900000,859900000, رایاتک,گارانتی 18 ماهه کارا همراه الماس پایتخت,10828679,گوشی موبایل اپل مدل iPhone 13 Pro LLA تک سیم‌ کارت ظرفیت یک ترابایت و 6 گیگابایت رم - نات اکتیو,Apple,iPhone 13 Pro LLA,6GB,1TB,False,True,True,DigiKala,False,https://digikala.com/product/dkp-10828679
خاکستری,#9E9E9E,929900000,929900000, رایاتک,گارانتی 18 ماهه کارا همراه الماس پایتخت,10828679,گوشی موبایل اپل مدل iPhone 13 Pro LLA تک سیم‌ کارت ظرفیت یک ترابایت و 6 گیگابایت رم - نات اکتیو,Apple,iPhone 13 Pro LLA,6GB,1TB,False,True,True,DigiKala,False,https://digikala.com/product/dkp-10828679
نقره ای,#dedede,919900000,919900000, رایاتک,گارانتی 18 ماهه کارا همراه الماس پایتخت,10828679,گوشی موبایل اپل مدل iPhone 13 Pro LLA تک سیم‌ کارت ظرفیت یک ترابایت و 6 گیگابایت رم - نات اکتیو,Apple,iPhone 13 Pro LLA,6GB,1TB,False,True,True,DigiKala,False,https://digikala.com/product/dkp-10828679
نقره ای,#dedede,868000000,868000000, رایاتک,گارانتی 18 ماهه کارا همراه الماس پایتخت,10632836,گوشی موبایل اپل مدل iPhone 13 Pro LLA تک سیم‌ کارت ظرفیت 512 گیگابایت و 6 گیگابایت رم - نات اکتیو,Apple,iPhone 13 Pro LLA,6GB,512GB,False,True,True,DigiKala,False,https://digikala.com/product/dkp-10632836
خاکستری,#9E9E9E,878000000,878000000, رایاتک,گارانتی 18 ماهه کارا همراه الماس پایتخت,10632836,گوشی موبایل اپل مدل iPhone 13 Pro LLA تک سیم‌ کارت ظرفیت 512 گیگابایت و 6 گیگابایت رم - نات اکتیو,Apple,iPhone 13 Pro LLA,6GB,512GB,False,True,True,DigiKala,False,https://digikala.com/product/dkp-10632836
خاکستری,#9E9E9E,839000000,839000000, رایاتک,گارانتی 18 ماهه (فنی خدماتی فناوران ارتباطات ژینا) موبایل کمک,10444529,گوشی موبایل اپل مدل iPhone 13 Pro Max CH دو سیم‌ کارت ظرفیت 512 گیگابایت و رم 6 گیگابایت - نات اکتیو,Apple,iPhone 13 Pro Max CH,6GB,512GB,False,True,True,DigiKala,False,https://digikala.com/product/dkp-10444529
نقره ای,#dedede,829000000,829000000, رایاتک,گارانتی 18 ماهه (فنی خدماتی فناوران ارتباطات ژینا) موبایل کمک,10444529,گوشی موبایل اپل مدل iPhone 13 Pro Max CH دو سیم‌ کارت ظرفیت 512 گیگابایت و رم 6 گیگابایت - نات اکتیو,Apple,iPhone 13 Pro Max CH,6GB,512GB,False,True,True,DigiKala,False,https://digikala.com/product/dkp-10444529
طلایی,#c99212,819000000,890000000, رایاتک,گارانتی 18 ماهه (فنی خدماتی فناوران ارتباطات ژینا) موبایل کمک,10444529,گوشی موبایل اپل مدل iPhone 13 Pro Max CH دو سیم‌ کارت ظرفیت 512 گیگابایت و رم 6 گیگابایت - نات اکتیو,Apple,iPhone 13 Pro Max CH,6GB,512GB,False,True,True,DigiKala,False,https://digikala.com/product/dkp-10444529
آبی روشن,#40aaff,805000000,890000000,گسترش همراه,گارانتی 18 ماهه آرکا تجارت بیستون,10444529,گوشی موبایل اپل مدل iPhone 13 Pro Max CH دو سیم‌ کارت ظرفیت 512 گیگابایت و رم 6 گیگابایت - نات اکتیو,Apple,iPhone 13 Pro Max CH,6GB,512GB,False,True,True,DigiKala,False,https://digikala.com/product/dkp-10444529
سبز,#00e676,727000000,727000000, رایاتک,گارانتی 18 ماهه عمران تل(نیک مهر عمرانی),12521347,گوشی موبایل اپل مدل iPhone 13 Pro Max TH/A تک سیم‌ کارت ظرفیت 128 گیگابایت و رم 6 گیگابایت - تایلند نات اکتیو,Apple,iPhone 13 Pro Max TH/A,6GB,128GB,False,True,False,DigiKala,False,https://digikala.com/product/dkp-12521347
طلایی,#c99212,609000000,609000000,یمین فرادید,گارانتی 18 ماهه حامی,10443625,گوشی موبایل اپل مدل iPhone 13 Pro CH دو سیم‌ کارت ظرفیت 128 گیگابایت و 6 گیگابایت رم - نات اکتیو,Apple,iPhone 13 Pro CH,6GB,128GB,False,True,True,DigiKala,False,https://digikala.com/product/dkp-10443625
آبی,#2196f3,609000000,609000000,یمین فرادید,گارانتی 18 ماهه حامی,10443625,گوشی موبایل اپل مدل iPhone 13 Pro CH دو سیم‌ کارت ظرفیت 128 گیگابایت و 6 گیگابایت رم - نات اکتیو,Apple,iPhone 13 Pro CH,6GB,128GB,False,True,True,DigiKala,False,https://digikala.com/product/dkp-10443625
نقره ای,#dedede,811000000,811000000, رایاتک,گارانتی 18 ماهه (فنی خدماتی فناوران ارتباطات ژینا) موبایل کمک,12064749,گوشی موبایل اپل مدل iPhone 13 Pro Max JA تک سیم‌ کارت ظرفیت 256 گیگابایت و رم 6 گیگابایت - اکتیو,Apple,iPhone 13 Pro Max JA,6GB,256GB,False,True,False,DigiKala,False,https://digikala.com/product/dkp-12064749
طلایی,#c99212,669000000,669000000, رایاتک,گارانتی 18 ماهه (فنی خدماتی فناوران ارتباطات ژینا) موبایل کمک,12565663,گوشی موبایل اپل مدل iPhone 13 Pro LLA تک سیم‌ کارت ظرفیت 128 گیگابایت و 6 گیگابایت رم - اکتیو,Apple,iPhone 13 Pro LLA,6GB,128GB,False,True,False,DigiKala,False,https://digikala.com/product/dkp-12565663
سبز,#00e676,805000000,805000000, رایاتک,گارانتی 18 ماهه (فنی خدماتی فناوران ارتباطات ژینا) موبایل کمک,12564598,گوشی موبایل اپل مدل iPhone 13 Pro Max LLA تک سیم‌ کارت ظرفیت 256 گیگابایت و رم 6 گیگابایت - اکتیو,Apple,iPhone 13 Pro Max LLA,6GB,256GB,False,True,False,DigiKala,False,https://digikala.com/product/dkp-12564598
خاکستری,#9E9E9E,814000000,814000000, رایاتک,گارانتی 18 ماهه (فنی خدماتی فناوران ارتباطات ژینا) موبایل کمک,12564598,گوشی موبایل اپل مدل iPhone 13 Pro Max LLA تک سیم‌ کارت ظرفیت 256 گیگابایت و رم 6 گیگابایت - اکتیو,Apple,iPhone 13 Pro Max LLA,6GB,256GB,False,True,False,DigiKala,False,https://digikala.com/product/dkp-12564598
طلایی,#c99212,813000000,813000000, رایاتک,گارانتی 18 ماهه (فنی خدماتی فناوران ارتباطات ژینا) موبایل کمک,12564598,گوشی موبایل اپل مدل iPhone 13 Pro Max LLA تک سیم‌ کارت ظرفیت 256 گیگابایت و رم 6 گیگابایت - اکتیو,Apple,iPhone 13 Pro Max LLA,6GB,256GB,False,True,False,DigiKala,False,https://digikala.com/product/dkp-12564598
آبی روشن,#40aaff,811000000,811000000, رایاتک,گارانتی 18 ماهه (فنی خدماتی فناوران ارتباطات ژینا) موبایل کمک,12564598,گوشی موبایل اپل مدل iPhone 13 Pro Max LLA تک سیم‌ کارت ظرفیت 256 گیگابایت و رم 6 گیگابایت - اکتیو,Apple,iPhone 13 Pro Max LLA,6GB,256GB,False,True,False,DigiKala,False,https://digikala.com/product/dkp-12564598
طلایی,#c99212,717000000,717000000, رایاتک,گارانتی 18 ماهه (فنی خدماتی فناوران ارتباطات ژینا) موبایل کمک,12565501,گوشی موبایل اپل مدل iPhone 13 Pro LLA تک سیم‌ کارت ظرفیت یک ترابایت و 6 گیگابایت رم - اکتیو ,Apple,iPhone 13 Pro LLA,6GB,1TB,False,True,False,DigiKala,False,https://digikala.com/product/dkp-12565501
